Date,open,high,low,close,volume
1/5/2010,6.5703,6.6006,6.529,6.5636,601904800
1/6/2010,6.5636,6.5896,6.4524,6.4592,552160000
1/7/2010,6.483,6.4907,6.4004,6.4472,477131200
1/8/2010,6.4386,6.4907,6.4007,6.4901,447610800
1/11/2010,6.5152,6.5213,6.382,6.4328,462229600
1/12/2010,6.4047,6.4224,6.3199,6.3597,594459600
1/13/2010,6.3642,6.4579,6.2488,6.4494,605892000
1/14/2010,6.4328,6.4435,6.3995,6.412,432894000
1/15/2010,6.4579,6.4784,6.303,6.3049,594067600
1/19/2010,6.3783,6.5884,6.345,6.5838,730007600
1/20/2010,6.5798,6.5994,6.4142,6.4823,612152800
1/21/2010,6.4931,6.5309,6.344,6.3704,608154400
1/22/2010,6.3309,6.3529,6.0363,6.0544,881767600
1/25/2010,6.2001,6.2672,6.1291,6.2174,1065699600
1/26/2010,6.3055,6.543,6.2023,6.3052,1867110000
1/27/2010,6.333,6.4472,6.1089,6.3647,1722568400
1/28/2010,6.2742,6.2917,6.0835,6.1016,1173502400
1/29/2010,6.1564,6.1907,5.8248,5.8803,1245952400
2/1/2010,5.8897,6.0008,5.8569,5.9619,749876400
2/2/2010,5.9981,6.0106,5.9206,5.9965,698342400
2/3/2010,5.9754,6.1294,5.9525,6.0997,615328000
2/4/2010,6.0232,6.0734,5.8652,5.8799,757652000
2/5/2010,5.8975,6.0008,5.8432,5.9843,850306800
2/8/2010,5.9913,6.0584,5.9396,5.9433,478270800
2/9/2010,6.0137,6.0468,5.9626,6.0066,632886800
2/10/2010,5.9975,6.0192,5.9476,5.9738,370361600
2/11/2010,5.9665,6.1156,5.9414,6.0826,550345600
2/12/2010,6.0654,6.1735,5.9855,6.1349,655468800
2/16/2010,6.1827,6.2363,6.1698,6.2274,543737600
2/17/2010,6.2516,6.2553,6.1496,6.2014,436396800
2/18/2010,6.1732,6.2424,6.1515,6.2129,422825200
2/19/2010,6.1802,6.2213,6.1573,6.1744,415469600
2/22/2010,6.1949,6.1998,6.0985,6.136,390563600
